,DTYYYYMMDD,BID,BVH,CII,CTG,DPM,FLC,FPT,GAS,GMD,HAG,HCM,HNG,HPG,HSG,ITA,KBC,KDC,MBB,MSN,MWG,NT2,PPC,PVD,REE,SBT,SSI,STB,VCB,VIC,VNM
62,20161025,15.79,65.28,28.38,15.91,21.24,5.26,26.09,57.9,19.66,5.3,11.91,6.13,13.58,16.68,4.75,16.38,31.46,9.59,41.98,51.93,22.76,9.86,21.57,17.66,23.91,18.87,9.1,34.24,35.29,106.26
63,20161024,15.97,65.09,28.43,16.0,21.2,5.31,26.09,57.73,19.84,5.27,11.96,6.12,13.79,17.14,4.6,16.76,32.34,9.63,41.98,52.47,22.93,9.69,21.49,17.7,23.73,18.83,9.2,34.58,35.54,106.26
64,20161021,15.93,65.28,29.15,15.86,21.54,5.48,26.21,58.5,19.84,5.3,12.15,6.1,14.06,17.23,4.62,16.9,33.21,9.55,42.17,54.45,23.12,9.63,21.82,17.7,23.73,19.23,9.25,35.15,35.54,108.68
65,20161020,15.93,64.7,29.34,16.0,22.15,5.42,26.27,58.5,19.76,5.35,12.17,6.2,14.11,17.05,4.62,16.99,33.43,9.58,42.3,54.09,22.96,9.66,22.11,17.78,24.0,18.96,9.32,35.15,35.79,109.2
66,20161019,16.02,66.04,27.99,16.05,22.42,5.2,26.49,58.58,19.95,5.35,12.17,6.2,14.15,17.21,4.62,16.8,32.78,9.58,42.3,54.2,23.79,9.73,22.24,17.96,24.23,18.96,9.48,35.15,36.2,110.03
67,20161018,15.38,65.09,28.33,15.77,22.26,5.16,26.33,58.07,19.98,5.39,12.04,6.3,13.96,16.77,4.51,16.43,33.04,9.58,42.43,54.09,24.12,9.73,22.28,18.0,24.0,18.83,9.24,34.91,35.45,108.52
68,20161017,15.47,63.65,28.43,15.77,21.88,5.38,26.21,58.92,20.13,5.63,12.04,6.51,13.65,16.62,4.58,16.66,32.78,9.58,42.43,51.67,23.79,9.79,22.15,17.96,23.82,18.92,9.22,34.86,35.54,107.17
69,20161014,15.38,67.96,29.44,15.77,21.46,5.43,26.49,60.02,20.13,5.63,12.08,6.32,13.86,16.62,4.68,16.66,33.04,9.49,43.38,53.37,24.25,9.69,22.65,18.26,24.0,18.96,9.21,35.63,35.54,108.52
70,20161013,15.2,68.82,29.24,15.86,21.62,5.63,26.58,60.19,20.23,5.27,12.15,5.91,14.16,16.62,4.78,16.99,33.12,9.46,43.25,53.23,24.45,9.63,22.73,18.3,24.09,19.01,9.2,35.72,35.54,107.02
71,20161012,15.2,68.82,29.15,15.86,21.54,5.42,26.46,59.77,20.13,5.16,12.08,5.68,13.99,16.68,4.59,16.94,32.43,9.46,43.25,49.76,24.58,9.53,23.06,18.26,24.18,18.87,9.22,36.01,34.88,106.64
