,DTYYYYMMDD,BID,BMP,BVH,CII,CTD,CTG,DHG,DPM,FPT,GAS,GMD,HAG,HNG,HPG,HSG,ITA,KBC,KDC,MBB,MSN,MWG,NT2,PVD,REE,SBT,SSI,STB,VCB,VIC,VNM
49,20170515,16.1,84.54,54.94,38.9,186.12,17.45,91.09,19.52,28.87,48.14,28.92,8.81,11.35,15.18,22.08,3.46,15.35,35.92,11.54,42.6,66.13,20.85,14.55,28.71,23.0,21.42,12.65,34.77,33.8,109.94
50,20170512,16.15,84.54,55.13,38.8,184.29,17.5,87.63,19.68,28.99,48.49,27.04,8.66,11.05,15.28,22.1,3.35,15.4,35.4,11.68,42.6,62.75,21.33,14.55,29.07,23.54,20.97,12.2,34.91,33.47,110.62
51,20170511,16.2,82.9,54.85,39.75,184.75,17.45,86.63,19.77,29.05,49.03,25.3,8.52,10.9,15.51,21.88,3.35,14.98,35.4,11.82,42.7,62.38,21.22,14.55,28.25,23.36,21.15,12.35,35.25,33.47,110.39
52,20170510,16.29,82.9,54.85,38.4,185.66,17.64,87.38,19.48,29.05,48.94,25.77,8.69,11.15,15.43,22.03,3.42,14.93,35.31,11.82,42.9,62.24,20.85,14.82,28.03,22.27,21.01,12.4,35.2,33.43,110.32
53,20170509,15.82,82.94,55.04,38.4,186.58,17.3,86.75,19.31,29.17,49.47,26.32,8.9,11.65,15.28,22.06,3.46,14.51,35.48,11.65,42.4,62.2,20.18,14.68,28.98,23.0,21.24,11.9,34.91,33.68,110.01
54,20170508,15.72,82.03,55.04,38.8,184.75,17.11,86.56,19.44,28.39,48.94,26.39,8.5,11.0,15.0,21.99,3.32,14.13,34.17,11.47,42.65,61.63,20.25,14.82,28.16,23.18,20.52,11.75,34.24,33.39,111.46
55,20170505,15.77,83.12,55.52,38.25,183.83,17.11,88.01,19.07,28.45,48.58,26.1,9.1,11.8,15.02,22.17,3.26,14.04,34.26,11.68,43.1,62.02,19.44,14.96,26.7,23.54,20.08,12.1,34.58,33.39,112.0
56,20170504,16.01,83.31,55.32,37.4,183.19,17.16,88.64,19.11,28.39,49.12,26.06,9.42,12.35,15.02,21.7,3.25,14.09,34.7,11.54,44.0,61.95,19.58,14.0,26.52,25.0,20.17,12.15,34.77,33.31,113.45
57,20170503,15.82,84.31,55.99,38.0,185.39,16.87,88.64,19.31,28.39,49.12,26.06,9.0,11.85,14.97,21.37,3.24,14.27,34.26,11.75,44.3,60.8,20.15,15.0,27.11,25.64,19.76,11.65,34.0,33.47,111.77
58,20170428,15.82,85.22,54.85,38.2,187.04,16.73,88.95,19.27,28.06,49.38,25.23,8.65,11.7,15.12,21.59,3.24,13.9,34.61,11.05,44.45,60.22,20.18,16.09,25.38,24.82,19.54,11.55,33.62,33.8,111.54
